player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Mujeeb Ur Rahman,1,2020-12-04,Afghanistan / Brisbane Heat,unique,7d92277a,Mujeeb Ur Rahman,Mujeeb Ur Rahman [7d92277a] Brisbane Heat; Kings XI Punjab; Middlesex; Melbourne Renegades n=172
Munim Shahriar,1,2022-01-21,Fortune Barishal,unique,dd98b22f,Munim Shahriar,Munim Shahriar [dd98b22f] Fortune Barishal; Khulna Tigers; Bangladesh n=13
Nafees Iqbal,1,2020-06-20,Bangladesh,unmatched,,,
Naseem Shah,1,2020-11-24,Pakistan,unique,9c9af282,Naseem Shah,Naseem Shah [9c9af282] Pakistan; Quetta Gladiators; St Kitts and Nevis Patriots; Colombo Strikers n=100
Naseem Shah,2,2022-09-29,Pakistan,unique,9c9af282,Naseem Shah,Naseem Shah [9c9af282] Pakistan; Quetta Gladiators; St Kitts and Nevis Patriots; Colombo Strikers n=100
Navdeep Saini,1,2022-01-31,India,unique,21d4e29b,Navdeep Saini,Navdeep Saini [21d4e29b] Royal Challengers Bangalore; Delhi; India; Kent n=81
Nazmul Islam,1,2020-06-20,Bangladesh,unique,6575e3bc,Nazmul Islam,Nazmul Islam [6575e3bc] Rangpur Riders; Bangladesh; Sylhet Thunder; Sylhet Sunrisers n=50
Nick Hobson,1,2022-01-01,Perth Scorchers,unique,4312e0fd,NR Hobson,NR Hobson [4312e0fd] Perth Scorchers; Western Australia n=33
Nimesh Vimukthi,1,2021-08-09,Sri Lanka domestic,unique,b215a7be,N Vimukthi,N Vimukthi [b215a7be] Kandy Warriors; Galle Gladiators n=7
Nishant Sindhu,1,2022-01-28,India U19,unique,3cea23da,N Sindhu,N Sindhu [3cea23da] Haryana n=4
Nitish Rana,1,2021-03-22,Kolkata Knight Riders,unique,fb2d1dda,N Rana,N Rana [fb2d1dda] Kolkata Knight Riders; Delhi; Mumbai Indians; Uttar Pradesh n=145
Nurul Hasan,1,2022-01-17,Fortune Barishal,unique,d365d463,Nurul Hasan,Nurul Hasan [d365d463] Bangladesh; Dhaka Dynamites; Chattogram Challengers; Rangpur Riders n=116
Nuwan Thushara,1,2022-01-25,Sri Lanka,unique,ee1b6c27,N Thushara,N Thushara [ee1b6c27] Galle Gladiators; Jaffna Kings; Sri Lanka; Quetta Gladiators n=34
Pathum Nissanka,1,2022-07-10,Sri Lanka,unique,8ee36b18,P Nissanka,P Nissanka [8ee36b18] Sri Lanka; Kandy Falcons; Colombo Strikers; Colombo Stars n=110
Paul Stirling,1,2021-12-31,Ireland,unique,cf494ffe,PR Stirling,PR Stirling [cf494ffe] Ireland; Middlesex; Northern Knights; Birmingham Bears n=309
Peter Handscomb,1,2021-07-12,Middlesex (Australia),unique,ada15e88,PSP Handscomb,PSP Handscomb [ada15e88] Victoria; Australia; Melbourne Stars; Hobart Hurricanes n=234
Pooja Vastrakar,1,2022-07-26,India women,unique,8026ea72,P Vastrakar,P Vastrakar [8026ea72] India; Brisbane Heat; Mumbai Indians; Supernovas n=107
Prasidh Krishna,1,2021-05-06,Kolkata Knight Riders,unique,85e0cf10,M Prasidh Krishna,M Prasidh Krishna [85e0cf10] Kolkata Knight Riders; India; Karnataka; Rajasthan Royals n=95
Praveen Jayawickrama,1,2022-07-04,Sri Lanka,unique,b7d1eadd,P Jayawickrama,P Jayawickrama [b7d1eadd] Sri Lanka; Jaffna Kings; Dambulla Aura n=19
Ravichandran Ashwin,1,2022-06-21,India,unique,495d42a5,R Ashwin,R Ashwin [495d42a5] India; Rajasthan Royals; Kings XI Punjab; Delhi Capitals n=184
Ravinderpal Singh,1,2020-11-20,Canada / Colombo Kings,unique,f80682f8,Ravinderpal Singh,Ravinderpal Singh [f80682f8] Canada n=46
Regis Chakabva,1,2020-10-22,Zimbabwe,unique,2f0d7e4a,RW Chakabva,RW Chakabva [2f0d7e4a] Zimbabwe n=74
Rishabh Pant,1,2021-07-08,India,unique,919a3be2,RR Pant,RR Pant [919a3be2] India; Delhi Capitals; Delhi Daredevils; Delhi n=222
Rohail Nazir,1,2020-11-24,Pakistan,unique,522bea89,Rohail Nazir,Rohail Nazir [522bea89] Islamabad United; Karachi Kings; Multan Sultans; Pakistan n=11
